[2026-08-03 22:03:55] Service OnStart triggered.
[2026-08-03 22:13:53] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:13:55] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:13:57] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:13:59] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:01] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:03] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:05] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:07] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:09] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:11] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:13] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:15] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:17] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:20] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:22] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:24] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:26] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:28] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:30] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:32] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:34] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:36] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:38] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:40] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:42] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:44] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:46] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:48] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:50] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:52] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:54] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:56] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:14:58] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:00] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:02] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:04] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:06] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:08] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:10] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:12] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:14] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:16] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:18] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:20] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:22] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:24] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:26] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:28] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:30] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:32] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:34] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:36] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:38] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:40] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:42] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:44] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:46] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:48] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:50] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:52] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:54] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:56] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:15:58] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:00] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:02] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:04] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:06] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:08] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:10] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:12] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:14] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:16] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:18] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:20] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:22] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:24] WTSGetActiveConsoleSessionId returned: 1
[2026-08-03 22:16:26] WTSGetActiveConsoleSessionId returned: 1
